"","Name","Location","Tags","Type","Source Zone","Source Address","Source User","Source Device","Destination Zone","Destination Address","Destination Device","Application","Service","Action","Profile","Options","Target","Rule Usage Rule Usage","Rule Usage Apps Seen","Days With No New Apps","Modified","Created"
"207","Onprem-pca-nonprod-testse-access-1","azure_pci_nonprod","none","universal","Non-Pci-Zone","onprem-pca-nonprod-testse-ipnetmask-1","any","any","Pci-Zone","az-pca-nonprod-testse-ipnetmask-1","any","any","service-https","Allow","Profile Group: security-profile","Traffic log sent at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Unused","0","-","2023-08-09 14:45:46","2023-05-22 13:25:24"
"208","cloud-np-oms-to-mule-pci1","azure_pci_nonprod","none","universal","Pci-Zone","dotcom-eun-int-oms01-10.126.33.128_26;dotcom-v2-oms-10.126.33.192_26","any","any","Non-Pci-Zone","hlxc08dc160-10.99.41.87;hlxc08dc160.unix.marksandspencercate.com;hlxc08dc160_10.96.138.65_32","any","any","service-tcp-18485;service-tcp-18491","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Used","1","1071","2024-05-28 14:42:52","2023-06-21 11:31:31"
"209","Cloud-pca-nonprod-optoaz-Onprem-access","azure_pci_nonprod","none","universal","Pci-Zone","az-pca-nonprod-optoaz-ipnetmask-1","any","any","Non-Pci-Zone","onprem-pca-nonprod-optoaz-ipnetmask-1","any","any","service-https","Allow","Profile Group: security-profile","Traffic log sent at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Unused","0","-","2023-08-09 14:45:46","2023-05-23 09:45:45"
"210","Onprem-pca-nonprod-servto-access-1","azure_pci_nonprod","none","universal","Non-Pci-Zone","onprem-pca-nonprod-servto-ipnetmask-1","any","any","Pci-Zone","az-pca-nonprod-servto-ipnetmask-1","any","any","service-https","Allow","Profile Group: security-profile","Traffic log sent at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Unused","0","-","2023-08-09 14:45:46","2023-05-23 11:45:34"
"211","np-oms-int-to-exp","azure_pci_nonprod","none","universal","Pci-Zone","Az-v2-oms-int-10.126.33.128_26;Az-v2-oms-int-10.126.33.192_26","any","any","Non-Pci-Zone","experience.dev.marksandspencer.app;Host_18.170.234.172;Host_18.135.8.154;flamingo-ms-sfi.kornitx.net;Host_18.132.217.125","any","any","TCP_443_1","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Used","1","1067","2024-03-18 11:37:14","2023-06-07 04:32:29"
"212","az-np-pci-oms-to-mule","azure_pci_nonprod","none","universal","Pci-Zone","Az-v2-oms-int-10.126.33.128_26;Az-v2-oms-int-10.126.33.192_26","any","any","Non-Pci-Zone","Host_10.128.204.70;otlp.nr-data.net;wms-np-10.96.138.12","any","any","service-tcp-4317;TCP_443;TCP_18489;TCP_18490","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Used","1","1030","2024-12-02 11:34:45","2023-07-03 09:19:46"
"213","pci-npr-aks-registry-cluster","azure_pci_nonprod","none","universal","Pci-Zone","az-v1-oms-int-10.126.33.128_26;Az-v2-oms-int-10.126.33.128_26;dot-eun-dev-dotshsrv-aks-10.126.37.176_28;dotco-aks-10.126.96.64;dotcom-eun-cate-dev004-10.126.39.64_26;dotcom-eun-cate-dev004-10.126.39.128_26;Hst-v2-np-oms-10.126.114.0_26;Net-az-np-dotcom -10.126.33.64_26;Net-v2-wce-stg-10.126.36.0_27;Net-v2-wce-stg-10.126.36.64_27;plt-furniture-10.126.35.0_26;plt-furniture-10.126.35.64_26","any","any","Non-Pci-Zone","any","any","any","TCP_80;TCP_443","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Used","1","695","2023-10-19 12:22:31","2023-10-05 08:42:46"
"214","az-np-to-endpoint-sit2","azure_pci_nonprod","none","universal","Pci-Zone","dotcom-eun-int-wcs01-10.126.33.64_26","any","any","Non-Pci-Zone","hst-endpoint-169.254.169.254_32","any","any","service-http","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Unused","0","-","2024-08-22 12:20:39","2024-08-22 12:20:39"
"215","az-np-pci-mule-to-oms","azure_pci_nonprod","none","universal","Non-Pci-Zone","Host_10.128.204.70;wms-np-10.96.138.12","any","any","Pci-Zone","Az-v2-oms-int-10.126.33.128_26;Az-v2-oms-int-10.126.33.192_26","any","any","TCP_18489;TCP_18490","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Unused","0","-","2024-04-16 16:05:21","2023-07-03 09:19:46"
"216","az-np-oms-to-cd-mule-srv","azure_pci_nonprod","none","universal","Non-Pci-Zone;Pci-Zone","dotcom-v2-oms-10.126.33.128_26;dotcom-v2-oms-10.126.33.192_26;Hst-cd-mule-svr-10.128.178.133;np-sw-10.96.139.45","any","any","Non-Pci-Zone;Pci-Zone","dotcom-v2-oms-10.126.33.128_26;dotcom-v2-oms-10.126.33.192_26;Hst-cd-mule-svr-10.128.178.133;np-sw-10.96.139.45","any","any","service-tcp-18485;Service-tcp-18486;service-tcp-18500;service-tcp-18505","Allow","Profile Group: security-profile","Traffic log sent at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Used","2","24","2024-08-01 11:17:56","2023-11-03 13:49:46"
"217","Az-wcs-np-to-sparks-cash-endpoint","azure_pci_nonprod","none","universal","Pci-Zone","dotcom-v2-wcs-10.126.33.64_26","any","any","Non-Pci-Zone","dev.nonprod.stored-value-cash-account.api.mnscorp.net;Host_45.60.35.210;Host_45.60.38.212;Host_194.60.177.162;Host_45.60.32.212;Host_45.60.40.212;Host_167.107.80.230;Host_45.60.39.210;Host_45.60.36.212;Host_45.60.37.210;Host_205.174.45.23;Host_45.60.31.210;Host_45.60.33.210;Host_45.60.34.212;Host_167.107.84.4","any","any","service-https","Allow","Profile Group: security-profile","Traffic log sent at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Used","1","923","2024-02-07 13:51:59","2023-11-20 11:36:23"
"218","sit-pci-sr-psrc-confluent","azure_pci_nonprod","none","universal","Pci-Zone","Az-v2-oms-int-10.126.33.128_26;Az-v2-oms-int-10.126.33.192_26","any","any","Non-Pci-Zone","conf-reg-20.107.146.16;psrc-lg26v.westeurope.azure.confluent.cloud","any","any","tcp-service-9092;TCP_22_1;TCP_443_1","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Used","1","625","2025-02-10 15:09:13","2023-12-07 16:48:15"
"219","test-ad-access","azure_pci_nonprod","none","universal","Pci-Zone","dotcom-eun-vnp-emapp-10.126.96.192_28","any","any","Non-Pci-Zone","azure-ad-v2-10.126.241.100;azure-ad-v2-10.126.241.101","any","any","service-tcp-389;service-tcp-445;service-tcp-464;service-tcp-636;service-tcp-49152-65535;Service-udp-389;service_tcp_53;tcp-88;tcp-135;tcp-3268;tcp-3269","Allow","Profile Group: security-profile","Traffic log sent at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Used","2","863","2024-01-09 15:15:19","2024-01-09 14:37:49"
"220","az-pci-np-to-perf-cluster","azure_pci_nonprod","none","universal","Pci-Zone","Az-v2-mq-10.126.56.64_26;Net-mac-cate-shrd-perf-10.126.56.128_26","any","any","Non-Pci-Zone","any","any","any","service-https","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Unused","0","-","2023-08-09 14:45:46","2022-09-08 10:32:23"
"221","dot-omr-sip-to-azure-elastic-acc","azure_pci_nonprod","none","universal","Pci-Zone","dotcom-eun-sit-omr-sip-10.126.99.64_26","any","any","Non-Pci-Zone","omrsipsitcluster.es.northeurope.azure.elastic-cloud.com","any","any","Tcp-9243","Allow","Profile Group: security-profile","Traffic log sent at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Used","1","707","2024-06-28 09:56:07","2024-06-27 14:51:36"
"222","az-oms-to-kqi08127.apps.dynatrace.com","azure_pci_nonprod","none","universal","Pci-Zone","az-v1-oms-int-10.126.33.128_26;Hst-v2-np-wcsh1-10.126.117.0_25;Hst-v2-np-wcsh1-10.126.117.128_25;Hst-v2-np-wcsh2-10.126.118.0_25;Hst-v2-np-wcsh2-10.126.118.128_25;Net-az-np-dotcom -10.126.33.64_26;Net-v2-wce-stg-10.126.36.0_27;Net-v2-wce-stg-10.126.36.64_27;np-pci-10.126.113.128;np-pci-10.126.115.96;pci-10.126.113.0;pci-np-10.126.113.64;pci-zone-np-10.126.113.192","any","any","Non-Pci-Zone","cluster-eu-west-1-prod20-ireland.live.dynatrace.com;kqi08127.apps.dynatrace.com","any","any","service-https","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Used","1","626","2025-01-13 11:45:23","2024-09-16 10:58:44"
"223","Bradford KiSoft - Carrier Gatreway API Calls","azure_pci_nonprod","none","universal","Non-Pci-Zone","Bfd-knapp-kisoft-10.110.105.1_32;bfd_Kisoft_10.110.105.13","any","any","Pci-Zone","10.126.35.71;cg-stg1.dotcom.apps.mnscorp.net_10.126.35.71;stg1.dotcom.apps.mnscorp.net","any","any","service-https","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end","any","Unused","0","-","2025-05-28 10:29:29","2025-05-26 16:40:48"
"224","Bradford KiSoft - OMS API Calls","azure_pci_nonprod","none","universal","Non-Pci-Zone","Bfd-knapp-kisoft-10.110.105.1_32;bfd_Kisoft_10.110.105.13","any","any","Pci-Zone","Hst-int-oms-dotcom-10.126.33.138;int-oms.dotcom.apps.mnscorpcate.net","any","any","service-https","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end","any","Unused","0","-","2025-05-28 10:29:29","2025-05-26 16:40:48"
"225","Bradford KiSoft - Azure File Share","azure_pci_nonprod","none","universal","Non-Pci-Zone","Bfd-knapp-kisoft-10.110.105.1_32;bfd_Kisoft_10.110.105.13","any","any","Pci-Zone","dotnpomsbvstorage-Non- Prod-test- 10.126.32.4","any","any","TCP_22","Allow","none","Traffic log sent at session start, and at session end","any","Unused","0","-","2025-05-28 10:29:29","2025-05-26 16:40:48"
"226","OMS to Bradford KiSoft API Calls","azure_pci_nonprod","none","universal","Pci-Zone","Az-v2-oms-int-10.126.33.128_26;Az-v2-oms-int-10.126.33.192_26","any","any","Non-Pci-Zone","Bfd-knapp-kisoft-10.110.105.1_32;bfd_Kisoft_10.110.105.13","any","any","tcp-8280","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Used","0","-","2025-05-28 10:29:29","2025-05-26 16:40:48"
"227","Sit2_to_WCS","azure_pci_nonprod","none","universal","Pci-Zone","Net-az-np-dotcom -10.126.33.64_26","any","any","Non-Pci-Zone","any","any","any","service-https","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Used","1","238","2025-10-09 16:59:34","2025-10-09 16:59:34"
"228","oms-to-mmflowers-api-nonprod","azure_pci_nonprod","none","universal","Pci-Zone","Net-az-np-dotcom-10.126.33.128_26;Net-az-np-dotcom-10.126.33.192_26","any","any","Non-Pci-Zone","any","any","any","service-https","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Used","1","24","2026-05-11 13:44:59","2026-05-11 11:35:01"
"229","cleanup-rule","azure_pci_nonprod","none","universal","any","any","any","any","any","any","any","any","any","Deny","none","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Used","0","-","2025-09-17 13:21:14","2022-05-20 16:34:15"
