"","Name","Location","Tags","Type","Source Zone","Source Address","Source User","Source Device","Destination Zone","Destination Address","Destination Device","Application","Service","Action","Profile","Options","Target","Rule Usage Rule Usage","Rule Usage Apps Seen","Days With No New Apps","Modified","Created"
"11","sp-salina-to-jenkins-splunk-oms-db","azure_pci_nonprod","NON-PCI;PCI","universal","Non-Pci-Zone","SP-SALINA-All-Floor-10.118.0.0_21;SP-SALINA-All-Grnd-10.118.8.0_23","any","any","Pci-Zone","Host_10.126.37.38","any","any","service-tcp-1521","Allow","Profile Group: security-profile","Traffic log sent at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Unused","0","-","2025-07-23 14:23:08","2025-06-02 15:35:43"
"12","pci to infoblox DNS","azure_pci_nonprod","PCI;NON-PCI","universal","Pci-Zone","az-ft-pci-vent-10.105.2.0_23;az-pci-10.105.6.0_27;az-pci-sit1-10.105.14.0_23;az-pci-stg-10.105.0.0_23;az-pci-tools-vm-10.105.4.0_27;dotcom-vnp-eun-pci-vnet;dotcom-vnp-eun-pcibas","any","any","Non-Pci-Zone","az-eun-infblx-dns-10.105.68.36;az-euw-infblx-dns-10.119.240.36","any","dns;icmp;ntp;ping","application-default","Allow","Profile Group: security-profile","Traffic log sent at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Partially Used","4","1429","2023-08-09 14:45:46","2022-05-20 16:34:15"
"13","Any-az-pci-non-prod-to-dynatrace-acc","azure_pci_nonprod","none","universal","Pci-Zone","Az-v2-eun-non-prod-10.126.0.0_16;Az-v2-euw-non-prod-10.127.0.0_16","any","any","Non-Pci-Zone","any","any","any","TCP_443;UDP-443","Allow","Profile Group: security-profile","Traffic log sent at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Used","4","328","2025-07-11 08:43:57","2025-07-11 08:43:57"
"14","PCI to Infoblox DNS V2","azure_pci_nonprod","PCI;NON-PCI","universal","Pci-Zone","Net-bastion-v2-10.126.34.48_28","any","any","Non-Pci-Zone","az-eun-nprod-infblx-x6-dns-10.126.241.32_28;Infoblox-dns-v2-np-10.126.241.36","any","dns;icmp;ntp;ping","application-default","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Used","3","1429","2025-11-17 15:46:26","2022-05-20 16:34:15"
"15","corp-citrix-to-pci-vnet","azure_pci_nonprod","NON-PCI;PCI","universal","Non-Pci-Zone","sp-corp-citrix-10.141.24.10-240;sw-corp-citrix-10.99.24.10-240","any","any","Pci-Zone","az-pci-10.105.3.0_24;az-pci-10.105.6.0_27;az-pci-10.105.7.0_27;az-pci-10.105.96.0_26;az-pci-10.105.96.176_28;az-pci-ft-stg-10.105.1.80_28;az-pci-ft-stg-10.105.1.96_28;az-pci-oms-10.105.96.160_28;az-pci-oms-sterling-ft;az-pci-oms-sterling-stg;az-pci-tools-vm-10.105.1.160_28;az-pci-tools-vm-10.105.4.0_27;az-pci-tools-vm-10.105.67.64_28;az-pci-tools-vm-10.105.67.80_28;az-pt-10.105.102.48_28;Az-v2-pt-bastion-10.126.116.32_28;az-wcs-10.105.1.240_28;np-wcs-auth-10.105.98.192_28;np-wcs-live-10.105.98.160_27","any","ms-rdp;ssh;ssl","application-default","Allow","Profile Group: security-profile","Traffic log sent at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Used","3","1438","2023-08-09 14:45:46","2022-05-20 16:34:15"
"16","citrix-to-pci-prod-wcs-1","azure_pci_nonprod","NON-PCI;PCI","universal","Non-Pci-Zone","sp-corp-citrix-10.141.24.10-240;sw-corp-citrix-10.99.24.10-240","any","any","Pci-Zone","az-pci-10.105.35.112_28;az-prod-pci-oms-10.105.32.160_28;az-prod-pci-wcs-10.105.34.160_27;az-prod-pci-wcs-10.105.34.192_28;dotcom-k8s-net1-10.126.33.128_26;dotcom-k8s-net2-10.126.33.192_26;Hst-cfto-fesk-v2-np-10.126.35.200;Hst-v2-np-oms-10.126.114.0_26;Hst-v2-np-oms-10.126.114.64_26;Net-v2-np-oem-10.126.116.48_28;Net-v2-np-wcs-cluster-10.126.115.32_27;Net-v2-np-wcs-cluster-10.126.115.64_27;Net-v2-wce-stg-10.126.36.0_27;Net-v2-wce-stg-10.126.36.32_27;Net-v2-wce-stg-10.126.36.64_27;Net-v2-wce-stg-10.126.36.96_27;Net-wcs-pt-v2-np-10.126.117.0_25;Net-wcs-pt-v2-np-10.126.117.128_25;Net-wcs-pt-v2-np-10.126.118.0_25;Net-wcs-pt-v2-np-10.126.118.128_25","any","ssl","application-default","Allow","Profile Group: security-profile","Traffic log sent at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Used","1","1472","2023-08-09 14:45:46","2022-05-20 16:34:15"
"17","Az-v2-oms-to-k8s","azure_pci_nonprod","none","universal","Pci-Zone","Az-v2-oms-int-10.126.33.128_26;Az-v2-oms-int-10.126.33.192_26;Hst-v2-np-oms-10.126.114.0_26;Hst-v2-np-oms-10.126.114.64_26","any","any","Non-Pci-Zone","cnh-product-pack-perf.cah.apps.mnscorpdev.net;mnscorp-dev.test.apimanagement.eu20.hana.ondemand.com;mnscorp-test.test.apimanagement.eu20.hana.ondemand.com;Net-az-v2-ets-10.126.160.0_21;staging-api.dsco.io","any","any","service-https","Allow","Profile Group: security-profile","Traffic log sent at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Used","1","1444","2024-09-10 16:06:31","2022-05-20 16:34:15"
"18","oms-to-eqas-az-pci-np","azure_pci_nonprod","none","universal","Pci-Zone","Az-v2-oms-int-10.126.33.128_26;Host_10.126.33.26;Host_10.126.33.128;Host_10.126.33.192;Net-az-np-dotcom-10.126.33.192_26;oms-srv-10.126.33.164","any","any","Non-Pci-Zone","Host_167.107.82.39","any","any","TCP_443_1","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Used","0","-","2023-10-30 08:35:42","2023-10-09 11:47:33"
"19","ctx-to-az-prod-pci-wcs-1","azure_pci_nonprod","NON-PCI;PCI","universal","Non-Pci-Zone","sp-corp-citrix-10.141.24.10-240;sw-corp-citrix-10.99.24.10-240","any","any","Pci-Zone","az-prod-pci-wcs-10.105.34.192_28","any","any","citrix-wcs-auth-services","Allow","Profile Group: security-profile","Traffic log sent at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Unused","0","-","2023-08-09 14:45:46","2022-05-20 16:34:15"
"20","az-v2-np-to-dsco","azure_pci_nonprod","none","universal","Pci-Zone","Az-v2-oms-int-10.126.33.128_26;Az-v2-oms-int-10.126.33.192_26;Hst-v2-np-oms-10.126.114.0_26;Hst-v2-np-oms-10.126.114.64_26","any","any","Non-Pci-Zone","any","any","any","service-https","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Used","1","1372","2024-09-11 08:11:32","2022-09-01 11:02:37"
"21","sea2-gm-to-application-prod-1","azure_pci_nonprod","NON-PCI;PCI","universal","Non-Pci-Zone;Pci-Zone","azure-pim-qm-10.105.32.68;azure-pim-qm-10.105.32.69;azure-sea2-app-10.105.16.132;azure-sea2-app-10.105.16.133","any","any","Non-Pci-Zone;Pci-Zone","azure-pim-qm-10.105.32.68;azure-pim-qm-10.105.32.69;azure-sea2-app-10.105.16.132;azure-sea2-app-10.105.16.133","any","any","service-tcp-11551;service-tcp-11552","Allow","Profile Group: security-profile","Traffic log sent at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Unused","0","-","2023-08-09 14:45:46","2022-05-20 16:34:15"
"22","pim-app-to-manager-prod-1","azure_pci_nonprod","PCI;NON-PCI","universal","Non-Pci-Zone;Pci-Zone","azure-pim- 10.105.16.84;azure-pim-10.105.16.85","any","any","Non-Pci-Zone;Pci-Zone","azure-pim-qm-10.105.32.68;azure-pim-qm-10.105.32.69","any","any","service-tcp-11541;service-tcp-11542","Allow","Profile Group: security-profile","Traffic log sent at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Unused","0","-","2023-08-09 14:45:46","2022-05-20 16:34:15"
"23","Non-pci-to-pci-em-servers-1","azure_pci_nonprod","PCI","universal","Pci-Zone","az-pci-em-servers","any","any","Non-Pci-Zone","az-non-pci-splunk-servers","any","any","service-tcp-9997","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Unused","0","-","2023-08-09 14:45:46","2022-05-20 16:34:15"
"24","pci-to-non-pci-em-servers-1","azure_pci_nonprod","PCI","universal","Non-Pci-Zone","az-non-pci-splunk-10.105.17.107","any","any","Pci-Zone","az-pci-em-servers","any","any","service-tcp-8089","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Unused","0","-","2023-08-09 14:45:46","2022-05-20 16:34:15"
"25","non-pci-to-pci- prometheus-1","azure_pci_nonprod","NON-PCI;PCI","universal","Non-Pci-Zone;Pci-Zone","az-non-pci-promethues-10.105.17.4;az-non-pci-promethues-10.105.17.5;az-pci-em-servers","any","any","Non-Pci-Zone;Pci-Zone","az-non-pci-promethues-10.105.17.4;az-non-pci-promethues-10.105.17.5;az-pci-em-servers","any","any","Prometheus-service","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Unused","0","-","2023-08-09 14:45:46","2022-05-20 16:34:15"
"26","SEA2-QueueManager-to-SEA2-Application-1","azure_pci_nonprod","NON-PCI;PCI","universal","Non-Pci-Zone;Pci-Zone","SEA2-application-10.105.104.100;SEA2-Application-10.105.104.101;SEA2-queue-10.105.96.68;SEA2-queue-10.105.96.69","any","any","Non-Pci-Zone;Pci-Zone","SEA2-application-10.105.104.100;SEA2-Application-10.105.104.101;SEA2-queue-10.105.96.68;SEA2-queue-10.105.96.69","any","any","service-tcp-11551;service-tcp-11552","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Unused","0","-","2023-08-09 14:45:46","2022-05-20 16:34:15"
"27","access from akamai to dot com server pci","azure_pci_nonprod","NON-PCI","universal","Non-Pci-Zone","eun-core-gw-fw1-10.105.88.37;eun-core-gw-fw2-10.105.88.38;eun-core-prod-fw1-10.105.80.37;eun-core-prod-fw2-10.105.80.38;eun-dotcom-np-gw-fw01-10.105.92.40;eun-dotcom-np-gw-fw01-10.105.92.41","any","any","Pci-Zone","any","any","any","service-tcp-25000;service-tcp-25001;service-tcp-26006","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Used","1","1469","2023-08-09 14:45:46","2022-05-20 16:34:15"
"28","inbound-akamai-App-stg-1","azure_pci_nonprod","NON-PCI","universal","Non-Pci-Zone","eun-core-gw-fw1-10.105.88.37;eun-core-gw-fw2-10.105.88.38;eun-dotcom-np-gw-fw01-10.105.92.40;eun-dotcom-np-gw-fw01-10.105.92.41","any","any","Pci-Zone","any","any","any","service-tcp-25032-43","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Used","0","-","2023-08-09 14:45:46","2022-05-20 16:34:15"
"29","inbound-akamai-App-stg","azure_pci_nonprod","NON-PCI","universal","Non-Pci-Zone","eun-core-gw-fw1-10.105.88.37;eun-core-gw-fw2-10.105.88.38;eun-dotcom-np-gw-fw01-10.105.92.40;eun-dotcom-np-gw-fw01-10.105.92.41","any","any","Pci-Zone","any","any","any","service-tcp-25044","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Used","1","1469","2023-08-09 14:45:46","2022-05-20 16:34:15"
"30","OMS LG to EOH PC Mi Listener pci-1","azure_pci_nonprod","NON-PCI","universal","Non-Pci-Zone","eun-core-gw-fw1-10.105.88.37;eun-core-gw-fw2-10.105.88.38;eun-dotcom-np-gw-fw01-10.105.92.40;eun-dotcom-np-gw-fw01-10.105.92.41","any","any","Pci-Zone","any","any","any","service-tcp-25005;service-tcp-25006;service-tcp-25007;service-tcp-25008","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Unused","0","-","2023-08-09 14:45:46","2022-05-20 16:34:15"
"31","cint-gw-qm-em-gw-qm-pr-1","azure_pci_nonprod","NON-PCI;PCI","universal","Non-Pci-Zone;Pci-Zone","azure-cint-gw-10.105.132.35;azure-cint-gw-10.105.132.36;azure-em-gw-10.105.32.6;azure-em-gw-10.105.32.7","any","any","Non-Pci-Zone;Pci-Zone","azure-cint-gw-10.105.132.35;azure-cint-gw-10.105.132.36;azure-em-gw-10.105.32.6;azure-em-gw-10.105.32.7","any","any","service-tcp-9414;service-tcp-11501;service-tcp-11502","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: dotcom-qroc","any","Unused","0","-","2023-08-09 14:45:46","2022-05-20 16:34:15"
"32","non-pci-splunk-to-pci-jdbc-1","azure_pci_nonprod","NON-PCI","universal","Non-Pci-Zone","az-non-pci-splunk-10.105.17.108","any","any","Pci-Zone","az-pci- em-srv-10.105.32.141;az-pci- em-srv-10.105.32.142","any","any","service-tcp-1521","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: dotcom-qroc","any","Unused","0","-","2023-08-09 14:45:46","2022-05-20 16:34:15"
"33","pim-app-to-pim-qm-bi-direction-1","azure_pci_nonprod","NON-PCI;PCI","universal","Non-Pci-Zone;Pci-Zone","azure-pim-app-10.105.32.4;azure-pim-app-10.105.32.5;azure-pim-qm-10.105.16.120","any","any","Non-Pci-Zone;Pci-Zone","azure-pim-app-10.105.32.4;azure-pim-app-10.105.32.5;azure-pim-qm-10.105.16.120","any","ssl","application-default","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: dotcom-qroc","any","Unused","0","-","2023-08-09 14:45:46","2022-05-20 16:34:15"
"34","cint-gw-qm-to-em-gw-qm-bi-dir-1","azure_pci_nonprod","NON-PCI;PCI","universal","Non-Pci-Zone;Pci-Zone","azure-cint-em-gw-10.105.2.6;azure-cint-em-gw-10.105.2.7;azure-cint-gw-qm-10.105.61.31;azure-cint-gw-qm-10.105.61.32;azure-cint-gw-qm-10.105.119.32;azure-cint-gw-qm-10.105.119.33;azure-em-gw-qm-10.105.0.6;azure-em-gw-qm-10.105.0.7","any","any","Non-Pci-Zone;Pci-Zone","azure-cint-em-gw-10.105.2.6;azure-cint-em-gw-10.105.2.7;azure-cint-gw-qm-10.105.61.31;azure-cint-gw-qm-10.105.61.32;azure-cint-gw-qm-10.105.119.32;azure-cint-gw-qm-10.105.119.33;azure-em-gw-qm-10.105.0.6;azure-em-gw-qm-10.105.0.7","any","any","service-tcp-9414;service-tcp-11501;service-tcp-11502","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: dotcom-qroc","any","Partially Used","0","-","2023-08-09 14:45:46","2022-05-20 16:34:15"
"35","NP-wcs-to-cloud-entity","azure_pci_nonprod","none","universal","Pci-Zone","dotcom-k8s-net1-10.126.33.0_26;dotcom-k8s-net2-10.126.33.64_26;Net-v2-wce-stg-10.126.36.0_27;Net-v2-wce-stg-10.126.36.32_27;Net-v2-wce-stg-10.126.36.64_27;Net-v2-wce-stg-10.126.36.96_27","any","any","Non-Pci-Zone","any","any","any","service-https","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Used","1","1464","2023-08-09 14:45:46","2022-05-20 16:34:15"
"36","sea2-qm-to-sea2-appln-bi-dir-1","azure_pci_nonprod","NON-PCI;PCI","universal","Non-Pci-Zone;Pci-Zone","azure-sea2-app-qm-10.105.11.197;azure-sea2-app-qm-10.105.11.199;azure-sea2-qm-10.105.0.37;azure-sea2-qm-10.105.0.38","any","any","Non-Pci-Zone;Pci-Zone","azure-sea2-app-qm-10.105.11.197;azure-sea2-app-qm-10.105.11.199;azure-sea2-qm-10.105.0.37;azure-sea2-qm-10.105.0.38","any","any","service-tcp-11551;service-tcp-11552","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: dotcom-qroc","any","Partially Used","0","-","2023-08-09 14:45:46","2022-05-20 16:34:15"
"37","sea2-qm-to-sea2-appln-bi-1","azure_pci_nonprod","NON-PCI;PCI","universal","Non-Pci-Zone;Pci-Zone","azure-sea2-qm-10.105.2.36;azure-sea2-qm-10.105.2.37;azure-sea2-qm-10.105.8.196;azure-sea2-qm-10.105.8.197","any","any","Non-Pci-Zone;Pci-Zone","azure-sea2-qm-10.105.2.36;azure-sea2-qm-10.105.2.37;azure-sea2-qm-10.105.8.196;azure-sea2-qm-10.105.8.197","any","any","service-tcp-11551;service-tcp-11552","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: dotcom-qroc","any","Partially Used","0","-","2023-08-09 14:45:46","2022-05-20 16:34:15"
"38","em-brk-to-pim-app-gw-bi-dir-1","azure_pci_nonprod","NON-PCI;PCI","universal","Non-Pci-Zone;Pci-Zone","azure-em-brk-10.105.0.4;azure-em-brk-10.105.0.5;azure-em-brk-10.105.2.4;azure-em-brk-10.105.2.5;azure-pim-app-gw-10.105.8.164;azure-pim-app-gw-10.105.11.165","any","any","Non-Pci-Zone;Pci-Zone","azure-em-brk-10.105.0.4;azure-em-brk-10.105.0.5;azure-em-brk-10.105.2.4;azure-em-brk-10.105.2.5;azure-pim-app-gw-10.105.8.164;azure-pim-app-gw-10.105.11.165","any","ssl","application-default","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: dotcom-qroc","any","Partially Used","0","-","2023-08-09 14:45:46","2022-05-20 16:34:15"
"39","pim-app-to-pim-qmr-1","azure_pci_nonprod","NON-PCI;PCI","universal","Non-Pci-Zone","azure-pim-app-10.105.8.100;azure-pim-app-10.105.8.101;azure-pim-app-10.105.11.100;azure-pim-app-10.105.11.101","any","any","Pci-Zone","azure-sea2-qm-10.105.0.37;azure-sea2-qm-10.105.0.38;azure-sea2-qm-10.105.2.36;azure-sea2-qm-10.105.2.37","any","any","service-tcp-11541;service-tcp-11542","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: dotcom-qroc","any","Partially Used","0","-","2023-08-09 14:45:46","2022-05-20 16:34:15"
"40","non-pci-to-pci-satellite-capsule-ssl-1","azure_pci_nonprod","NON-PCI;PCI","universal","Pci-Zone","az-pci-core-tools-vm;az-pci-networks;az-pci-sit1-10.105.14.0_23","any","any","Non-Pci-Zone","az-non-pci-sate-cap-10.105.17.164","any","ssh;ssl","application-default","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: dotcom-qroc","any","Partially Used","0","-","2023-08-09 14:45:46","2022-05-20 16:34:15"
"41","pci-to-non-pci-satellite-capsule-ssh-1","azure_pci_nonprod","NON-PCI;PCI","universal","Non-Pci-Zone","az-non-pci-sate-cap-10.105.17.164","any","any","Pci-Zone","az-ft-pci-vent-10.105.2.0_23;az-pci-core-tools-vm;az-pci-networks;az-pci-sit1-10.105.14.0_23","any","ssh","application-default","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: dotcom-qroc","any","Used","0","-","2023-08-09 14:45:46","2022-05-20 16:34:15"
"42","non-pci-to-pci-satellite-capsule-services-1","azure_pci_nonprod","NON-PCI;PCI","universal","Pci-Zone","az-pci-core-tools-vm;az-pci-networks;az-pci-sit1-10.105.14.0_23","any","any","Non-Pci-Zone","az-non-pci-sate-cap-10.105.17.164","any","any","Satellite-Capsule-service","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: dotcom-qroc","any","Partially Used","0","-","2023-08-09 14:45:46","2022-05-20 16:34:15"
"43","pci-to-non-pci-PIM DB-1","azure_pci_nonprod","NON-PCI;PCI","universal","Pci-Zone","az-pci-10.105.35.32_27","any","any","Non-Pci-Zone","azure-oem-db1-10.105.16.71;azure-oem-db2-10.105.16.72;dotcom-prod-eun-pimdb-10.105.16.80_28;dotcom-prod-eun-pimdb-10.105.16.96_28;dotcom-prod-eun-pimdb-10.105.16.128_28;dotcom-prod-eun-pimdb-10.105.16.144_28","any","any","service-tcp-1521;service-tcp-8089","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: dotcom-qroc","any","Unused","0","-","2023-08-09 14:45:46","2022-05-20 16:34:15"
"44","inbound-akamai-App-GW-1","azure_pci_nonprod","NON-PCI","universal","Non-Pci-Zone","eun-core-gw-fw1-10.105.88.37;eun-core-gw-fw2-10.105.88.38;eun-dotcom-np-gw-fw01-10.105.92.40;eun-dotcom-np-gw-fw01-10.105.92.41","any","any","Pci-Zone","any","any","any","service-tcp-25009;service-tcp-25010;service-tcp-25011;service-tcp-25012;service-tcp-25013;service-tcp-25014;service-tcp-25015;service-tcp-25016;service-tcp-25017;service-tcp-25018;service-tcp-25019;service-tcp-25020","Allow","Profile Group: security-profile","Traffic log sent at session end;Log Forwarding Profile setting: dotcom-qroc","any","Used","0","-","2023-08-09 14:45:46","2022-05-20 16:34:15"
"45","inbound-akamai-App-GW-sit2","azure_pci_nonprod","NON-PCI","universal","Non-Pci-Zone","eun-core-gw-fw1-10.105.88.37;eun-core-gw-fw2-10.105.88.38;eun-dotcom-np-gw-fw01-10.105.92.40;eun-dotcom-np-gw-fw01-10.105.92.41","any","any","Pci-Zone","any","any","any","service-tcp-25021-25026","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: dotcom-qroc","any","Used","0","-","2023-08-09 14:45:46","2022-05-20 16:34:15"
"46","Anana-vpn-access-1","azure_pci_nonprod","NON-PCI","universal","Non-Pci-Zone","Az-v2-np-vpn-trust-int-10.126.240.107_27;eun-core-gw-fw1-10.105.88.37;eun-core-gw-fw2-10.105.88.38","any","any","Pci-Zone","any","any","any","service-https;service-tcp-25100;service-tcp-25101;service-tcp-25102;service-tcp-25103;Service-tcp-25104","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: dotcom-qroc","any","Used","0","-","2025-01-15 09:35:24","2022-05-20 16:34:15"
"47","Capita-sa-to-az-oms-access","azure_pci_nonprod","NON-PCI","universal","Non-Pci-Zone","Az-v2-np-vpn-trust-int-10.126.240.107_27;eun-core-gw-fw1-10.105.88.37;eun-core-gw-fw2-10.105.88.38","any","any","Pci-Zone","Hst-int-oms-dotcom-10.126.33.138","any","any","service-https","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Unused","0","-","2025-01-15 09:35:24","2025-01-14 23:50:49"
"48","Az-v2-np-em-oms-to-anana","azure_pci_nonprod","none","universal","Pci-Zone","dotcom-eun-sit-emapp-10.126.96.128_28;dotcom-eun-vnp-emapp-10.126.96.192_28;dotcom-v2-oms-10.126.33.128_26;dotcom-v2-oms-10.126.33.192_26","any","any","Non-Pci-Zone","Anana-encryption-domain-10.25.149.40_29","any","any","service-tcp-8001-8003","Allow","Profile Group: security-profile","Traffic log sent at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Used","1","1156","2023-08-09 14:45:46","2023-02-08 08:24:39"
"49","sit-vm-to-anana-1","azure_pci_nonprod","none","universal","Pci-Zone","az-pci-tools-vm-10.105.2.0_27;az-sit-em-10.105.3.192_28;dotcom-eun-sit-emapp-10.126.96.128_28;dotcom-eun-vnp-emapp-10.126.96.192_28;dotcom-v2-oms-10.126.33.128_26;dotcom-v2-oms-10.126.33.192_26","any","any","Non-Pci-Zone","10.105.88.43;Az-v2-np-vpn-trust-int-10.126.240.107_27;eun-core-gw-fw1-10.105.88.37","any","any","service-tcp-8001;service-tcp-8002;service-tcp-8003","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: dotcom-qroc","any","Used","0","-","2023-08-09 14:45:46","2022-05-20 16:34:15"
"50","Anana-to-az-v2-np-oms-em","azure_pci_nonprod","none","universal","Non-Pci-Zone","Anana-encryption-domain-10.25.149.40_29;V2-VPN-FW-10.126.240.96_27","any","any","Pci-Zone","dotcom-eun-sit-emapp-10.126.96.128_28;dotcom-eun-vnp-emapp-10.126.96.192_28;dotcom-v2-oms-10.126.33.128_26;dotcom-v2-oms-10.126.33.192_26","any","any","service-https","Allow","Profile Group: security-profile","Traffic log sent at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Unused","0","-","2023-08-09 14:45:46","2023-02-08 08:44:36"
"51","Prometheus-Monitoring-1","azure_pci_nonprod","none","universal","Pci-Zone","Prometheus-Master-10.105.35.6;Prometheus-Slave-10.105.35.4;Prometheus-Slave-10.105.35.5","any","any","Non-Pci-Zone","dotcom-nonpci-servers","any","any","tcp-9100","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: dotcom-qroc","any","Unused","0","-","2023-08-09 14:45:46","2022-05-20 16:34:15"
"52","az-to-corp-wcs-psg-1","azure_pci_nonprod","PCI","universal","Pci-Zone","az-pci-tools-vm-10.105.0.64_27;az-pci-tools-vm-10.105.0.96_27;az-pci-tools-vm-10.105.0.240_28;az-pci-tools-vm-10.105.2.96_27;az-pci-tools-vm-10.105.3.160_28;pt-oms-10.105.97.0_25;pt-wcs-live-10.105.100.0_23;sit-oms-app-10.105.2.64_27;sit-wcs-auth-10.105.102.128_26","any","any","Non-Pci-Zone","psg-sp-10.250.5.0_24","any","ssl","application-default","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: dotcom-qroc","any","Partially Used","0","-","2023-08-09 14:45:46","2022-05-20 16:34:15"
"53","az-to-corp-oms-mule","azure_pci_nonprod","PCI","universal","Pci-Zone","Net-az-np-dotcom -10.126.33.64_26;Net-az-np-dotcom-10.126.33.0_26;Net-az-np-dotcom-10.126.33.128_26;Net-az-np-dotcom-10.126.33.192_26;sit-oms-app-10.105.2.64_27","any","any","Non-Pci-Zone","corp-mule-10.128.142.31;hlxc0mw004-10.96.136.92","any","any","service-tcp-18398;service-tcp-18400;service-tcp-18401;service-tcp-18410;service-tcp-18411","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: dotcom-qroc","any","Partially Used","0","-","2024-10-16 16:07:51","2022-05-20 16:34:15"
"54","az-to-corp-pt-mule","azure_pci_nonprod","PCI","universal","Pci-Zone","pt-oms-10.105.97.0_25","any","any","Non-Pci-Zone","corp-mule-10.128.142.27;corp-mule-10.128.142.28;corp-mule-10.250.5.104;hlxc0mw001-10.96.136.91","any","any","service-tcp-18398;service-tcp-18410;service-tcp-27998;service-tcp-28000;service-tcp-28001;service-tcp-28005;service-tcp-28016","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: dotcom-qroc","any","Partially Used","0","-","2024-10-16 16:07:51","2022-05-20 16:34:15"
"55","az-sit-to-corp-XB62-1","azure_pci_nonprod","PCI","universal","Pci-Zone","az-pci-tools-vm-10.105.2.0_27","any","any","Non-Pci-Zone","corp-xb62-10.130.150.21","any","any","service-tcp-5035;service-tcp-5061;service-tcp-5547;service-tcp-8050","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: dotcom-qroc","any","Partially Used","0","-","2023-08-09 14:45:46","2022-05-20 16:34:15"
